,inflow(t-2),precipitation(t-2),temp_1(t-2),temp_2(t-2),humidity(t-2),wind(t-2),solar(t-2),inflow(t-1),precipitation(t-1),temp_1(t-1),temp_2(t-1),humidity(t-1),wind(t-1),solar(t-1),inflow(t),precipitation(t),temp_1(t),temp_2(t),humidity(t),wind(t),solar(t)
137,39.6,0,24,12.2,52.5,2.1,10.9,43.7,0,19.4,9.8,44,4,11.6,34.3,0,21.4,4.3,53,1.4,12.1
138,43.7,0,19.4,9.8,44,4,11.6,34.3,0,21.4,4.3,53,1.4,12.1,39.1,0,23.7,5.7,53.5,1.5,10
139,34.3,0,21.4,4.3,53,1.4,12.1,39.1,0,23.7,5.7,53.5,1.5,10,37.7,0,18.8,10.2,65.5,1,0.7
140,39.1,0,23.7,5.7,53.5,1.5,10,37.7,0,18.8,10.2,65.5,1,0.7,29.3,0,24.4,11.6,68,0.6,8.3
141,37.7,0,18.8,10.2,65.5,1,0.7,29.3,0,24.4,11.6,68,0.6,8.3,19.6,0,30.2,9.3,59.5,0.9,12.3
142,29.3,0,24.4,11.6,68,0.6,8.3,19.6,0,30.2,9.3,59.5,0.9,12.3,24.6,0,28.7,11.5,60,1.6,12
143,19.6,0,30.2,9.3,59.5,0.9,12.3,24.6,0,28.7,11.5,60,1.6,12,25.2,0,28.7,12.9,58.5,1.5,10.9
144,24.6,0,28.7,11.5,60,1.6,12,25.2,0,28.7,12.9,58.5,1.5,10.9,13.4,0,27.7,10.5,66.5,1,8.6
145,25.2,0,28.7,12.9,58.5,1.5,10.9,13.4,0,27.7,10.5,66.5,1,8.6,34.3,27.5,19.1,16.8,89.8,0.8,0
146,13.4,0,27.7,10.5,66.5,1,8.6,34.3,27.5,19.1,16.8,89.8,0.8,0,42.9,1.3,18,8,66,4.5,6.5
147,34.3,27.5,19.1,16.8,89.8,0.8,0,42.9,1.3,18,8,66,4.5,6.5,40.3,0,23.3,6.5,50.3,3.5,12.8
148,42.9,1.3,18,8,66,4.5,6.5,40.3,0,23.3,6.5,50.3,3.5,12.8,41,0,27.2,15,50.8,2.8,12
149,40.3,0,23.3,6.5,50.3,3.5,12.8,41,0,27.2,15,50.8,2.8,12,28.1,0,28.7,10.4,66,0.6,12.5
150,41,0,27.2,15,50.8,2.8,12,28.1,0,28.7,10.4,66,0.6,12.5,24.6,0,32.7,14.1,64,0.8,11.4
151,28.1,0,28.7,10.4,66,0.6,12.5,24.6,0,32.7,14.1,64,0.8,11.4,17.5,0,29.1,14.5,61.3,2,7.2
152,24.6,0,32.7,14.1,64,0.8,11.4,17.5,0,29.1,14.5,61.3,2,7.2,12.1,1.8,29.7,16.7,63.3,1.6,9.5
153,17.5,0,29.1,14.5,61.3,2,7.2,12.1,1.8,29.7,16.7,63.3,1.6,9.5,28,4,20.5,12.7,87.5,2.7,0
154,12.1,1.8,29.7,16.7,63.3,1.6,9.5,28,4,20.5,12.7,87.5,2.7,0,19.8,0.4,24.1,12.4,59.8,3.3,13.3
155,28,4,20.5,12.7,87.5,2.7,0,19.8,0.4,24.1,12.4,59.8,3.3,13.3,20.1,0.8,27.4,13.9,64.5,1.5,12.5
156,19.8,0.4,24.1,12.4,59.8,3.3,13.3,20.1,0.8,27.4,13.9,64.5,1.5,12.5,9.3,0,28.4,12.6,62,1.6,12
157,20.1,0.8,27.4,13.9,64.5,1.5,12.5,9.3,0,28.4,12.6,62,1.6,12,9.9,0,30.3,12.5,68.8,0.8,12
