,inflow,outflow,precipitation,temp_max,temp_min,humidity,wind,solar
1981-01-02,4.5,10.7,0,-5,-21.6,71.8,3.9,2.5
1981-01-03,3.3,52.6,0,-8.2,-23,73.8,1,3.6
1981-01-04,2.2,8.4,0,-11.4,-23.1,84,0.1,6.8
1981-01-05,4.7,29.3,0,-6.8,-23.8,76.5,0.5,7.1
1981-01-06,1.8,63.4,0,-7.2,-23.2,75.5,0.2,7.5
1981-01-07,5.7,67.3,0,-5,-19.8,78,0.2,5.5
1981-01-08,2.5,51.8,0,-6.8,-16,88.3,0.2,1
1981-01-09,3.2,52.5,0.2,0.8,-12.8,76,1.5,1.9
1981-01-10,2.8,52.1,0,-3.6,-16.2,60.5,3.2,7.6
1981-01-11,2.8,0,0.1,-4.6,-20.4,74.8,1.4,3.4
1981-01-12,2.8,43.1,0,-1.3,-20,64,2,8.1
1981-01-13,9.6,83.5,0,-5.2,-18.3,65,1.6,7.7
1981-01-14,0.3,66.6,0,-5.4,-19.8,71.5,0.5,5.6
1981-01-15,0.7,49,2,-0.3,-9.3,79,1.1,2
1981-01-16,5.8,60.1,0.2,-1.5,-13.8,84.3,1.2,2.5
